question,answer
I am the life of the party.,AGREE
I don't talk a lot.,NEUTRAL
I feel comfortable around people.,AGREE
I keep in the background.,DISAGREE
I start conversations.,AGREE
I have little to say.,AGREE
I talk to a lot of different people at parties.,AGREE
I don't like to draw attention to myself.,AGREE
I don't mind being the center of attention.,AGREE
I am quiet around strangers.,AGREE
I get stressed out easily.,AGREE
I am relaxed most of the time.,AGREE
I worry about things.,AGREE
I seldom feel blue.,AGREE
I am easily disturbed.,AGREE
I get upset easily.,AGREE
I change my mood a lot.,AGREE
I have frequent mood swings.,SOMEWHAT AGREE
I get irritated easily.,AGREE
I often feel blue.,AGREE
I feel little concern for others.,DISAGREE
I am interested in people.,AGREE
I insult people.,DISAGREE
I sympathize with others' feelings.,AGREE
I am not interested in other people's problems.,AGREE
I have a soft heart.,AGREE
I am not really interested in others.,AGREE
I take time out for others.,AGREE
I feel others' emotions.,AGREE
I make people feel at ease.,AGREE
I am always prepared.,AGREE
I leave my belongings around.,AGREE
I pay attention to details.,AGREE
I make a mess of things.,AGREE
I get chores done right away.,AGREE
I often forget to put things back in their proper place.,AGREE
I like order.,AGREE
I shirk my duties.,DISAGREE
I follow a schedule.,AGREE
I am exacting in my work.,AGREE
I have a rich vocabulary.,AGREE
I have difficulty understanding abstract ideas.,SOMEWHAT AGREE
I have a vivid imagination.,AGREE
I am not interested in abstract ideas.,AGREE
I have excellent ideas.,AGREE
I do not have a good imagination.,AGREE
I am quick to understand things.,AGREE
I use difficult words.,NEUTRAL
I spend time reflecting on things.,AGREE
I am full of ideas.,AGREE
