filename,timestamp,time_taken,status,prompt_file,survey_type,isLocal,LIMIT,error
base_game_llama_1,2024-04-22_142659,96.869,OK,batch/prompts/game_base_prompts.json,KanoSurvey,True,,
base_personality_llama_1,2024-04-22_142836,93.719,OK,batch/prompts/personality_base_prompts.json,PersonalitySurvey,True,,
elias_personality_r_1,2024-04-22_143010,73.512,OK,batch/prompts/personality_batch-A_8k-static_prompts.json,PersonalitySurvey,True,,
elias_game_llama_1,2024-04-22_143123,96.266,OK,batch/prompts/game_batch-A_8k-static_prompts.json,KanoSurvey,True,,
elias_personality_mixtral_1,2024-04-22_143259,113.677,OK,batch/prompts/personality_batch-A_8k-static_prompts.json,PersonalitySurvey,True,,
elias_game_mixtral_1,2024-04-22_143453,45.88,OK,batch/prompts/game_batch-A_8k-static_prompts.json,KanoSurvey,True,,
base_personality_r_1,2024-04-22_143539,60.581,OK,batch/prompts/personality_base_prompts.json,PersonalitySurvey,True,,
elias_personality_llama_1,2024-04-22_143640,135.908,OK,batch/prompts/personality_batch-A_8k-static_prompts.json,PersonalitySurvey,True,,
base_game_r_1,2024-04-22_143856,52.826,OK,batch/prompts/game_base_prompts.json,KanoSurvey,True,,
base_game_mixtral_1,2024-04-22_143948,119.689,OK,batch/prompts/game_base_prompts.json,KanoSurvey,True,,
elias_game_r_1,2024-04-22_144148,63.572,OK,batch/prompts/game_batch-A_8k-static_prompts.json,KanoSurvey,True,,
base_personality_mixtral_1,2024-04-22_144252,74.575,OK,batch/prompts/personality_base_prompts.json,PersonalitySurvey,True,,
base_kano_v2_llama3_3,2024-04-22_162849,98.785,OK,batch/prompts/base_kano_v2.json,KanoSurvey,True,,
base_kano_v2_llama3_3,2024-04-22_164130,43.908,OK,batch/prompts/base_kano_v2.json,KanoSurvey,True,,
airi_kano_v2_dynamic_llama3_2,2024-04-22_164214,1292.053,OK,batch/prompts/airidas_kano_v2_dynamic.json,KanoSurvey,True,,
airi_kano_v2_dynamic_llama3_3,2024-04-22_170346,1716.201,OK,batch/prompts/airidas_kano_v2_dynamic.json,KanoSurvey,True,,
airi_kano_v2_static_llama3_1,2024-04-22_173222,119.424,OK,batch/prompts/airidas_kano_v2_static.json,KanoSurvey,True,,
base_kano_v2_llama3_2,2024-04-22_173422,73.221,OK,batch/prompts/base_kano_v2.json,KanoSurvey,True,,
base_kano_v2_llama3_1,2024-04-22_173535,69.699,OK,batch/prompts/base_kano_v2.json,KanoSurvey,True,,
airi_kano_v2_static_llama3_2,2024-04-22_173645,116.617,OK,batch/prompts/airidas_kano_v2_static.json,KanoSurvey,True,,
airi_kano_v2_static_llama3_3,2024-04-22_173841,74.238,OK,batch/prompts/airidas_kano_v2_static.json,KanoSurvey,True,,
