filename,timestamp,time_taken,status,prompt_file,survey_type,isLocal,LIMIT,error
eli_kano_dynamic-ARE_5,2024-04-29_193702,1105.414,OK,batch/prompts/40-10-10-8k_kano-dynamic_Elias-ARE_prompts.json,KanoSurvey,True,,
eli_kano_static-IMPERSONATE_5,2024-04-29_195527,472.235,OK,batch/prompts/40-10-10-8k_kano-static_Elias-IMPERSONATE_prompts.json,KanoSurvey,True,,
eli_kano_dynamic-IMPERSONATE_5,2024-04-29_200319,1125.893,OK,batch/prompts/40-10-10-8k_kano-dynamic_Elias-IMPERSONATE_prompts.json,KanoSurvey,True,,
eli_pers_dynamic-ARE_5,2024-04-29_202205,1381.263,OK,batch/prompts/40-10-10-8k_pers-dynamic_Elias-ARE_prompts.json,PersonalitySurvey,True,,
eli_pers_static-ARE_5,2024-04-29_204507,96.468,OK,batch/prompts/40-10-10-8k_pers-static_Elias-ARE_prompts.json,PersonalitySurvey,True,,
eli_kano_static-ARE_5,2024-04-29_204643,58.632,OK,batch/prompts/40-10-10-8k_kano-static_Elias-ARE_prompts.json,KanoSurvey,True,,
eli_pers_dynamic-IMPERSONATE_5,2024-04-29_204742,1397.721,OK,batch/prompts/40-10-10-8k_pers-dynamic_Elias-IMPERSONATE_prompts.json,PersonalitySurvey,True,,
eli_pers_static-IMPERSONATE_5,2024-04-29_211059,67.541,OK,batch/prompts/40-10-10-8k_pers-static_Elias-IMPERSONATE_prompts.json,PersonalitySurvey,True,,
eli_pers_static-ARE_3,2024-04-29_221126,96.355,OK,batch/prompts/40-10-10-8k_pers-static_Elias-ARE_prompts.json,PersonalitySurvey,True,,
eli_kano_dynamic-IMPERSONATE_4,2024-04-29_221302,1102.982,OK,batch/prompts/40-10-10-8k_kano-dynamic_Elias-IMPERSONATE_prompts.json,KanoSurvey,True,,
eli_pers_dynamic-ARE_3,2024-04-29_223125,1430.51,OK,batch/prompts/40-10-10-8k_pers-dynamic_Elias-ARE_prompts.json,PersonalitySurvey,True,,
eli_kano_static-ARE_2,2024-04-29_225515,97.556,OK,batch/prompts/40-10-10-8k_kano-static_Elias-ARE_prompts.json,KanoSurvey,True,,
eli_kano_static-IMPERSONATE_4,2024-04-29_225653,472.376,OK,batch/prompts/40-10-10-8k_kano-static_Elias-IMPERSONATE_prompts.json,KanoSurvey,True,,
eli_kano_dynamic-ARE_4,2024-04-29_230445,1132.593,OK,batch/prompts/40-10-10-8k_kano-dynamic_Elias-ARE_prompts.json,KanoSurvey,True,,
eli_kano_static-ARE_3,2024-04-29_232338,60.015,OK,batch/prompts/40-10-10-8k_kano-static_Elias-ARE_prompts.json,KanoSurvey,True,,
eli_pers_dynamic-ARE_2,2024-04-29_232438,1437.891,OK,batch/prompts/40-10-10-8k_pers-dynamic_Elias-ARE_prompts.json,PersonalitySurvey,True,,
eli_pers_static-ARE_2,2024-04-29_234836,104.771,OK,batch/prompts/40-10-10-8k_pers-static_Elias-ARE_prompts.json,PersonalitySurvey,True,,
eli_kano_static-IMPERSONATE_2,2024-04-29_235021,483.04,OK,batch/prompts/40-10-10-8k_kano-static_Elias-IMPERSONATE_prompts.json,KanoSurvey,True,,
eli_kano_static-ARE_4,2024-04-29_235824,95.453,OK,batch/prompts/40-10-10-8k_kano-static_Elias-ARE_prompts.json,KanoSurvey,True,,
eli_kano_dynamic-ARE_2,2024-04-29_235959,1155.674,OK,batch/prompts/40-10-10-8k_kano-dynamic_Elias-ARE_prompts.json,KanoSurvey,True,,
eli_pers_dynamic-IMPERSONATE_1,2024-04-30_001915,1460.004,OK,batch/prompts/40-10-10-8k_pers-dynamic_Elias-IMPERSONATE_prompts.json,PersonalitySurvey,True,,
eli_kano_dynamic-IMPERSONATE_2,2024-04-30_004335,1163.866,OK,batch/prompts/40-10-10-8k_kano-dynamic_Elias-IMPERSONATE_prompts.json,KanoSurvey,True,,
eli_kano_dynamic-IMPERSONATE_3,2024-04-30_010259,1165.743,OK,batch/prompts/40-10-10-8k_kano-dynamic_Elias-IMPERSONATE_prompts.json,KanoSurvey,True,,
eli_pers_static-ARE_4,2024-04-30_012224,105.027,OK,batch/prompts/40-10-10-8k_pers-static_Elias-ARE_prompts.json,PersonalitySurvey,True,,
eli_kano_dynamic-ARE_3,2024-04-30_012409,1169.157,OK,batch/prompts/40-10-10-8k_kano-dynamic_Elias-ARE_prompts.json,KanoSurvey,True,,
eli_kano_static-IMPERSONATE_3,2024-04-30_014339,489.383,OK,batch/prompts/40-10-10-8k_kano-static_Elias-IMPERSONATE_prompts.json,KanoSurvey,True,,
eli_pers_dynamic-ARE_4,2024-04-30_015148,1481.481,OK,batch/prompts/40-10-10-8k_pers-dynamic_Elias-ARE_prompts.json,PersonalitySurvey,True,,
eli_pers_static-IMPERSONATE_1,2024-04-30_021630,92.055,OK,batch/prompts/40-10-10-8k_pers-static_Elias-IMPERSONATE_prompts.json,PersonalitySurvey,True,,
eli_pers_static-IMPERSONATE_2,2024-04-30_021802,68.443,OK,batch/prompts/40-10-10-8k_pers-static_Elias-IMPERSONATE_prompts.json,PersonalitySurvey,True,,
eli_pers_dynamic-IMPERSONATE_3,2024-04-30_021910,1484.436,OK,batch/prompts/40-10-10-8k_pers-dynamic_Elias-IMPERSONATE_prompts.json,PersonalitySurvey,True,,
eli_pers_dynamic-IMPERSONATE_2,2024-04-30_024354,1480.731,OK,batch/prompts/40-10-10-8k_pers-dynamic_Elias-IMPERSONATE_prompts.json,PersonalitySurvey,True,,
eli_kano_dynamic-IMPERSONATE_1,2024-04-30_030835,1168.431,OK,batch/prompts/40-10-10-8k_kano-dynamic_Elias-IMPERSONATE_prompts.json,KanoSurvey,True,,
eli_pers_static-IMPERSONATE_3,2024-04-30_032804,91.466,OK,batch/prompts/40-10-10-8k_pers-static_Elias-IMPERSONATE_prompts.json,PersonalitySurvey,True,,
eli_kano_static-IMPERSONATE_1,2024-04-30_032935,487.726,OK,batch/prompts/40-10-10-8k_kano-static_Elias-IMPERSONATE_prompts.json,KanoSurvey,True,,
eli_kano_dynamic-ARE_1,2024-04-30_033743,1165.191,OK,batch/prompts/40-10-10-8k_kano-dynamic_Elias-ARE_prompts.json,KanoSurvey,True,,
eli_pers_static-ARE_1,2024-04-30_035708,70.128,OK,batch/prompts/40-10-10-8k_pers-static_Elias-ARE_prompts.json,PersonalitySurvey,True,,
eli_pers_dynamic-ARE_1,2024-04-30_035818,1474.968,OK,batch/prompts/40-10-10-8k_pers-dynamic_Elias-ARE_prompts.json,PersonalitySurvey,True,,
eli_pers_static-IMPERSONATE_4,2024-04-30_042253,91.239,OK,batch/prompts/40-10-10-8k_pers-static_Elias-IMPERSONATE_prompts.json,PersonalitySurvey,True,,
eli_kano_static-ARE_1,2024-04-30_042424,97.21,OK,batch/prompts/40-10-10-8k_kano-static_Elias-ARE_prompts.json,KanoSurvey,True,,
eli_pers_dynamic-IMPERSONATE_4,2024-04-30_042602,1462.212,OK,batch/prompts/40-10-10-8k_pers-dynamic_Elias-IMPERSONATE_prompts.json,PersonalitySurvey,True,,
